ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
272377,1,18.01.2017,10.06.2016,76000,0,,,,,1,15.04.2025,18.01.2017,1,1,2017,70,678,SPODNJE RADVANJE,MARIBOR,1292,1,,,1,,,,,,4,1979,1,,,13,1/1,,,,,,,,1242001 - garaža,pritličje,,13.4,13.4,-,,,548384.13,155579.36,2017,70
272377,1,18.01.2017,10.06.2016,76000,0,,,,,1,15.04.2025,18.01.2017,1,1,2017,70,678,SPODNJE RADVANJE,MARIBOR,1283,1,,,1,MARIBOR,DEVOVA ULICA,17,,,1,1939,1,,,129,1/1,,,,2,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,3,129.3,84.4," Drugo | Klet, shramba | Kurilnica | Stopnišče",,,548364.03,155582.48,2017,70
282857,1,18.01.2017,17.08.2016,80000,0,,,,,0,15.04.2025,18.01.2017,1,1,2017,70,657,MARIBOR-GRAD,MARIBOR,923,7,,,1,,,,,,14,1900,1,,,7,1/1,,,,,,,,1274018 - Drvarnica,pritličje,,7.3,7.3,-,,,549615.64,158318.62,2017,70
282857,1,18.01.2017,17.08.2016,80000,0,,,,,0,15.04.2025,18.01.2017,1,1,2017,70,657,MARIBOR-GRAD,MARIBOR,888,7,,,1,MARIBOR,MLADINSKA ULICA,5,,7,2,1895,1,,,86,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,85.6,79.8," Klet, shramba | Odprt balkon",,,549608.28,158337.18,2017,70
282857,1,18.01.2017,17.08.2016,80000,0,,,,,0,15.04.2025,18.01.2017,1,1,2017,70,657,MARIBOR-GRAD,MARIBOR,923,8,,,1,,,,,,14,1900,1,,,7,1/1,,,,,,,,1274018 - Drvarnica,pritličje,,7.3,7.3,-,,,549615.64,158318.62,2017,70
297661,3,10.02.2017,14.10.2016,3235400,0,,,,,0,15.04.2025,10.02.2017,1,3,2017,70,680,TEZNO,MARIBOR,3322,1,,,1,,,,,,11,1950,1,,,1232,1/1,,,,,,,,1252002 - Skladišča,pritličje,,1232,1232,-,,,550984.69,154048.26,2017,70
297661,3,10.02.2017,14.10.2016,3235400,0,,,,,0,15.04.2025,10.02.2017,1,3,2017,70,680,TEZNO,MARIBOR,3320,1,,,1,MARIBOR,PERHAVČEVA ULICA,27,,,11,2003,1,,,2911,1/1,,,,,,,,1252002 - Skladišča,pritličje,,2911,2911,-,,,550911.77,154046.26,2017,70
297661,3,10.02.2017,14.10.2016,3235400,0,,,,,0,15.04.2025,10.02.2017,1,3,2017,70,680,TEZNO,MARIBOR,3335,1,,,1,,,,,,11,1950,1,,,994,1/1,,,,,,,,1252002 - Skladišča,pritličje,,994,994,-,,,551011.89,154009.44,2017,70
297886,3,10.02.2017,29.09.2016,96000,0,,,,,0,15.04.2025,10.02.2017,1,3,2017,70,658,KOROŠKA VRATA,MARIBOR,370,2,,,1,MARIBOR,ROSINOVA ULICA,4,,2,5,1966,1,,,55,5/8,,,2,,,,,1220301 - Poslovni prostori,pritličje,,55.3,41.3,-,,,548706.42,158322.21,2017,70
297886,3,10.02.2017,29.09.2016,96000,0,,,,,0,15.04.2025,10.02.2017,1,3,2017,70,658,KOROŠKA VRATA,MARIBOR,370,3,,,1,MARIBOR,ROSINOVA ULICA,4,,2,2,1966,1,,,55,1/1,,,,,,,,1121001 - Stanovanje v samostoječi stavbi z dvema stanovanjema,klet,2,55.3,41.3, Kurilnica | Stopnišče,,,548706.42,158322.21,2017,70
