ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
340634,2,15.09.2017,10.07.2017,11322,0,,,,,0,15.04.2025,15.09.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,3037,320,,,1,NOVA GORICA,DELPINOVA ULICA,18,B,,3,2011,1,,,10,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,10,10,-,,,395062.07,91609.12,2017,84
340637,2,15.09.2017,10.07.2017,5961,0,,,,,0,15.04.2025,15.09.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,3037,288,,,1,NOVA GORICA,DELPINOVA ULICA,18,B,,3,2011,1,,,10,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,10,10,-,,,395062.07,91609.12,2017,84
340639,2,15.09.2017,10.07.2017,11522,0,,,,,0,15.04.2025,15.09.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,3037,269,,,1,NOVA GORICA,DELPINOVA ULICA,18,B,,3,2011,1,,,10,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,10,10,-,,,395062.07,91609.12,2017,84
340639,2,15.09.2017,10.07.2017,11522,0,,,,,0,15.04.2025,15.09.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,3037,335,,,1,NOVA GORICA,DELPINOVA ULICA,18,B,,3,2011,1,,,10,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,10,10,-,,,395062.07,91609.12,2017,84
340640,2,15.09.2017,10.07.2017,5861,0,,,,,0,15.04.2025,15.09.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,3037,299,,,1,NOVA GORICA,DELPINOVA ULICA,18,B,,3,2011,1,,,10,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,10,10,-,,,395062.07,91609.12,2017,84
345085,1,16.10.2017,11.09.2017,110000,0,,,,,0,15.04.2025,16.10.2017,1,2,2017,84,2304,NOVA GORICA,NOVA GORICA,815,55,,,1,NOVA GORICA,ULICA GRADNIKOVE BRIGADE,47,,55,2,1980,1,,,84,1/1,,,11,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,4,85.9,80.1," Klet, shramba | Odprt balkon",,,395179.91,92321.41,2017,84
340643,2,15.09.2017,10.07.2017,7361,0,,,,,0,15.04.2025,15.09.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,3037,346,,,1,NOVA GORICA,DELPINOVA ULICA,18,B,,3,2011,1,,,10,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,17.9,17.9,-,,,395062.07,91609.12,2017,84
339891,1,15.09.2017,17.08.2017,232567,0,,,,,0,15.04.2025,15.09.2017,1,2,2017,84,2303,SOLKAN,NOVA GORICA,1936,1,,,1,SOLKAN,ULICA XXX. DIVIZIJE,70,,,1,1966,1,,,240,1/1,,,,,,,,"1110002 - Stanovanje, ki se nahaja v krajni vrstni hiši",pritličje,3,239.5,102.8, Garaža | Odprt balkon | Podstrešje | Stopnišče,,,395028.98,92589.24,2017,84
305032,3,06.02.2017,23.01.2017,88502,1,3,,,,0,15.04.2025,06.02.2017,1,3,2017,84,2304,NOVA GORICA,NOVA GORICA,2741,7,,,1,NOVA GORICA,PRVOMAJSKA ULICA,23,,7,2,2010,1,,1,59.7,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,59.7,49.8," Klet, shramba | Odprta loža",,,394469.81,91760.79,2017,84
344755,1,16.10.2017,01.09.2017,28000,0,,,,,0,15.04.2025,16.10.2017,1,2,2017,84,2299,LOKVE,NOVA GORICA,87,1,,,1,LOKVE,LOKVE,39,K,,12,1970,1,,,36,1/1,,,,,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,1,95.3,36.4," Garaža | Klet, shramba | Odprta terasa",,,406789.79,97961.12,2017,84
