ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
898707,1,15.03.2025,23.01.2025,180000,0,,,,,,15.04.2025,15.03.2025,1,5,2025,23,1937,HOMEC,DOMŽALE,935,1,,,1,NOŽICE,GOSTIČEVA CESTA,65,,,1,1937,1,,,80,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,80,68, bivalni prostor | klet,,,468953.17,116444.22,2025,23
906848,1,16.05.2025,08.04.2025,190000,0,,,,,,23.05.2025,16.05.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,6596,2,,,1,PODREČJE,,19,,2,2,1960,1,,,75.5,1/1,,,,,0,,,2 - stanovanje,nadstropje,,75.5,75.5, bivalni prostor,,,469646.24,111738.56,2025,23
965953,1,15.10.2025,27.08.2025,190000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,5413,81,,,1,,,,,,14,1961,1,,,3.4,1/1,,,,,0,,,33 - klet,klet,,3.4,3.4, klet,,,468675.66,111333.85,2025,23
965953,1,15.10.2025,27.08.2025,190000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,5413,75,,,1,DOMŽALE,LJUBLJANSKA CESTA,85,,31,2,1961,1,,,72.4,1/1,,,,,0,,,2 - stanovanje,nadstropje,,72.4,65.4," bivalni prostor | klet | odprta terasa, balkon, loža",,,468675.66,111333.85,2025,23
970397,1,15.11.2025,13.10.2025,188000,0,,,,,,22.11.2025,15.11.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,6396,4,,,1,ŠKRJANČEVO,,15,c,4,2,1951,1,,,82.1,1/1,,,,,0,,,2 - stanovanje,nadstropje,,82.1,53.7, bivalni prostor | klet,,,469583.25,113971.94,2025,23
970397,1,15.11.2025,13.10.2025,188000,0,,,,,,22.11.2025,15.11.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,5986,4,,,1,,,,,4,4,2007,1,,,18.1,1/1,,,,,0,,,15 - garaža,pritličje,,18.1,18.1, garaža,,,469572.66,113952.49,2025,23
896899,1,20.02.2025,14.01.2025,374000,0,,,,,,15.04.2025,20.02.2025,1,2,2025,23,1959,DOMŽALE,DOMŽALE,4095,1,,,1,VIR,ZOISOVA ULICA,35,,,1,1977,1,,,305.1,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,305.1,244.7," bivalni prostor | garaža | odprta terasa, balkon, loža | shramba, sušilnica, pralnica | tehnični prostor",,,469617.17,112472.69,2025,23
895781,1,19.02.2025,20.12.2024,115000,0,,,,,,15.04.2025,19.02.2025,1,3,2025,23,1959,DOMŽALE,DOMŽALE,2323,8,,,1,DOMŽALE,ULICA NIKOLA TESLA,9,a,8,2,2008,1,,,52.5,1/2,,,,,0,,,2 - stanovanje,klet,,52.5,44.7, bivalni prostor | klet,,,468760.99,111625.61,2025,23
965384,1,15.10.2025,23.07.2025,49650.19,0,,,,,,22.10.2025,15.10.2025,1,5,2025,23,1959,DOMŽALE,DOMŽALE,5554,30,,,1,DOMŽALE,SLAMNIKARSKA CESTA,1,d,30,6,2003,1,,,41.5,1/1,,,,,0,,,9 - poslovni del stavbe,pritličje,,41.5,41.5, poslovni prostor,,,468960.39,110972.86,2025,23
896576,1,20.02.2025,09.01.2025,181000,0,,,,,,15.04.2025,20.02.2025,1,1,2025,23,1959,DOMŽALE,DOMŽALE,5405,5,,,1,DOMŽALE,ŽUPANČIČEVA ULICA,9,,5,2,1972,1,,,47.3,1/1,,,,,0,,,2 - stanovanje,klet,,47.3,40.4," bivalni prostor | klet | odprta terasa, balkon, loža",,,468789.24,111368.27,2025,23
