ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
966811,1,15.10.2025,22.08.2025,1725000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,1772,SLAPE,LJUBLJANA,1003,1,,,1,LJUBLJANA,ZADOBROVŠKA CESTA,16,,,1,1990,1,,,444.6,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,444.6,355.7, bivalni prostor,,,467814.55,101969.18,2025,61
966811,1,15.10.2025,22.08.2025,1725000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,1772,SLAPE,LJUBLJANA,2350,1,,,1,,,,,,4,1995,1,,,20,1/2,,,,,0,,,15 - garaža,pritličje,,20,20, garaža,,,467848.83,101960.93,2025,61
966811,1,15.10.2025,22.08.2025,1725000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,1772,SLAPE,LJUBLJANA,2284,1,,,1,,,,,,4,1995,1,,,18,1/1,,,,,0,,,15 - garaža,pritličje,,18,18, garaža,,,467833.79,101982.73,2025,61
902093,1,15.04.2025,26.02.2025,21000,0,,,,,,22.04.2025,15.04.2025,1,5,2025,61,1730,MOSTE,LJUBLJANA,1328,60,,,1,LJUBLJANA,ULICA BRATOV ROZMANOV,4,,61,2,1970,1,,,27.3,1/4,,,,,0,,,2 - stanovanje,nadstropje,,27.3,26, bivalni prostor | klet,,,464314.8,102003.55,2025,61
961102,1,15.08.2025,22.07.2025,280000,0,,,,,,22.08.2025,15.08.2025,1,5,2025,61,1778,VOLAVLJE,LJUBLJANA,606,1,,,1,ZGORNJA BESNICA,,30,,,1,1991,1,,,178.4,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,nadstropje,,178.4,146.9," bivalni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica | tehnični prostor",,,477403.68,98440.28,2025,61
908639,1,15.06.2025,23.04.2025,420000,0,,,,,,22.06.2025,15.06.2025,1,5,2025,61,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,5559,1,,,1,LJUBLJANA,SREBRNIČEVA ULICA,49,,,1,1977,1,,,213.7,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,213.7,139.1, bivalni prostor | garaža | klet,,,461836.66,99301.97,2025,61
959502,1,15.08.2025,27.06.2025,238000,0,,,,,,22.08.2025,15.08.2025,1,5,2025,61,1774,PODMOLNIK,LJUBLJANA,291,1,,,1,ŠENTPAVEL,,28,,,1,1990,1,,,70.5,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,70.5,56.5," bivalni prostor | odprta terasa, balkon, loža | prostor z omejeno uporabo",,,470158,96911.41,2025,61
959502,1,15.08.2025,27.06.2025,238000,0,,,,,,22.08.2025,15.08.2025,1,5,2025,61,1774,PODMOLNIK,LJUBLJANA,444,1,,,1,,,,,,4,2012,1,,,27.7,1/1,,,,,0,,,15 - garaža,pritličje,,27.7,27.7, garaža,,,470163,96912,2025,61
902677,1,15.04.2025,04.03.2025,73200,0,,,,,,22.04.2025,15.04.2025,1,5,2025,61,1738,DRAVLJE,LJUBLJANA,1394,323,,,1,LJUBLJANA,CELOVŠKA CESTA,264,,323,2,1983,1,,,17,1/1,,,,,0,,,2 - stanovanje,nadstropje,,17,17, bivalni prostor,,,459572.35,105205.69,2025,61
965974,1,15.10.2025,28.08.2025,240000,0,,,,,,22.10.2025,15.10.2025,1,5,2025,61,2680,NOVE JARŠE,LJUBLJANA,47,32,,,1,LJUBLJANA,ULICA HERMANA POTOČNIKA,33,,32,2,1974,1,,,71.1,1/1,,,,,0,,,2 - stanovanje,nadstropje,,71.1,66.7," bivalni prostor | klet | odprta terasa, balkon, loža",,,464597.49,103796.41,2025,61
963506,1,10.09.2025,20.05.2025,110000,0,,,,,,17.09.2025,10.09.2025,1,5,2025,61,1773,DOBRUNJE,LJUBLJANA,166,4,,,1,LJUBLJANA,CESTA II. GRUPE ODREDOV,1,,4,2,1930,1,,,73.6,1/1,,,,,0,,,2 - stanovanje,nadstropje,,73.6,40.3, bivalni prostor | klet,,,467994.29,100310.23,2025,61
900217,1,15.03.2025,06.02.2025,20000,0,,,,,,15.04.2025,15.03.2025,1,1,2025,61,1726,ŠENTPETER,LJUBLJANA,284,65,,,1,LJUBLJANA,BOHORIČEVA ULICA,17,,,4,2008,1,,,14.3,1/1,,,,,0,,,15 - garaža,klet,,14.3,14.3, garaža,,,463126.23,101871.51,2025,61
907401,1,30.05.2025,29.08.2023,272238.5,1,3,,,,,06.06.2025,30.05.2025,1,5,2025,61,2636,BEŽIGRAD,LJUBLJANA,8444,90,,,1,LJUBLJANA,PODMILŠČAKOVA ULICA,12,,90,2,2025,1,,1,72.8,1/1,,,,,0,,,2 - stanovanje,nadstropje,,72.8,53.2," bivalni prostor | garažni parkirni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",,,461631.74,103259.54,2025,61
973069,1,15.12.2025,05.11.2025,350000,0,,,,,,22.12.2025,15.12.2025,1,5,2025,61,2636,BEŽIGRAD,LJUBLJANA,1896,141,,,1,LJUBLJANA,ULICA METODA MIKUŽA,12,,141,2,1986,1,,,76.3,1/1,,,,,0,,,2 - stanovanje,nadstropje,,76.3,67.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,462778.43,103176.9,2025,61
899278,1,15.03.2025,15.01.2025,12000,0,,,,,,15.04.2025,15.03.2025,1,3,2025,61,1740,SPODNJA ŠIŠKA,LJUBLJANA,1934,564,,,1,LJUBLJANA,FRANKOPANSKA ULICA,8,,,3,2005,1,,,13.3,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,13.3,13.3, garažni parkirni prostor,,,461149.03,102499.82,2025,61
960087,1,15.08.2025,03.07.2025,417500,0,,,,,,22.08.2025,15.08.2025,1,5,2025,61,1770,KAŠELJ,LJUBLJANA,1116,1,,,1,LJUBLJANA,HLADILNIŠKA POT,21,c,,1,1994,1,,,272.9,1/1,,,,,0,,,1 - stanovanje v enostanovanjski stavbi,pritličje,,272.9,188," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",,,469659.45,102579.26,2025,61
