ID_POSLA,DEJANSKA_RABA_DELA_STAVBE,OBCINA,IME_KO,NASELJE,E_CENTROID,N_CENTROID,DATUM_UVELJAVITVE,POGODBENA_CENA_ODSKODNINA,POVRSINA,CENA_M2,STEVILO_SOB,NADSTROPJE_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE
438352,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BEŽIGRAD,LJUBLJANA,462603.43,102783.02,10.09.2019,91000.0,36.0,2527.777777777778,1.0,,1968
454187,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,KAŠELJ,LJUBLJANA,470542.2,102459.74,10.12.2019,106000.0,50.2,2111.5537848605577,2.0,,1998
456047,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,DRAVLJE,LJUBLJANA,459898.18,104169.36,11.12.2019,135200.0,44.3,3051.918735891648,2.0,,2008
446654,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,DOBROVA,LJUBLJANA,457371.96,99297.57,29.10.2019,70000.0,34.1,2052.7859237536654,1.0,,2004
447805,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,460277.9,103741.23,29.10.2019,64000.0,20.0,3200.0,1.0,,1977
450043,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,POLJANSKO PREDMESTJE,LJUBLJANA,463398.31,101229.58,18.11.2019,159000.0,41.6,3822.1153846153843,1.0,,2004
451554,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BEŽIGRAD,LJUBLJANA,462046.17,103514.08,19.11.2019,159000.0,66.9,2376.6816143497754,2.0,,1938
442678,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,VIČ,LJUBLJANA,458985.77,99734.54,19.09.2019,79000.0,35.0,2257.1428571428573,3.0,,1963
442855,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,460277.9,103741.23,19.09.2019,72901.48,36.0,2025.041111111111,2.0,,1977
438568,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,SPODNJA ŠIŠKA,LJUBLJANA,461063.09,103178.51,10.09.2019,160000.0,63.9,2503.9123630672925,2.0,,1962
447075,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,TRNOVSKO PREDMESTJE,LJUBLJANA,461733.24,100351.48,29.10.2019,235000.0,73.3,3206.0027285129604,3.0,,1981
451820,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BEŽIGRAD,LJUBLJANA,462149.06,103876.07,19.11.2019,120000.0,35.3,3399.43342776204,1.0,,1986
442817,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ŠENTVID NAD LJUBLJANO,LJUBLJANA,459100.46,106265.26,19.09.2019,115000.0,46.8,2457.2649572649575,2.0,,1963
441873,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,AJDOVŠČINA,LJUBLJANA,461704.35,101968.95,19.09.2019,505000.0,147.4,3426.0515603799186,4.0,,1956
438573,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,SPODNJA ŠIŠKA,LJUBLJANA,460809.82,102810.68,10.09.2019,145000.0,43.4,3341.013824884793,1.0,,1984
447609,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ŠENTVID NAD LJUBLJANO,LJUBLJANA,459049.28,106063.54,29.10.2019,140000.0,50.4,2777.777777777778,2.0,,1972
453718,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BEŽIGRAD,LJUBLJANA,463087.16,102883.24,10.12.2019,215000.0,83.3,2581.0324129651863,3.0,,1953
440195,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,POLJANSKO PREDMESTJE,LJUBLJANA,462622.38,101185.93,10.09.2019,220000.0,73.9,2976.995940460081,3.0,,1988
447666,"1110003 - Stanovanje, ki se nahaja v vmesni vrstni hiši",LJUBLJANA,UDMAT,LJUBLJANA,464254.73,101318.99,29.10.2019,230000.0,68.2,3372.434017595308,3.0,,1966
450235,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ŠTEPANJA VAS,LJUBLJANA,464813.28,101630.56,18.11.2019,130000.0,58.4,2226.027397260274,,,1976
452053,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,TRNOVSKO PREDMESTJE,LJUBLJANA,461533.88,99126.79,19.11.2019,145500.0,104.1,1397.6945244956773,9.0,,1957
454711,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,LJUBLJANA MESTO,LJUBLJANA,461948.22,100684.88,10.12.2019,139000.0,49.0,2836.734693877551,2.0,,1963
440957,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,POLJANSKO PREDMESTJE,LJUBLJANA,463126.17,101047.65,10.09.2019,95000.0,30.3,3135.313531353135,1.0,,1882
451988,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,LJUBLJANA MESTO,LJUBLJANA,461792.16,100902.86,19.11.2019,340000.0,92.9,3659.849300322928,3.0,,1949
451261,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,BEŽIGRAD,LJUBLJANA,462389.22,102490.88,19.11.2019,330000.0,93.2,3540.772532188841,4.0,,2005
442484,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,MOSTE,LJUBLJANA,463819.76,102599.59,19.09.2019,140000.0,62.9,2225.7551669316376,3.0,,1957
442830,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,LJUBLJANA,ZGORNJA ŠIŠKA,LJUBLJANA,460200.01,104290.54,19.09.2019,180000.0,76.4,2356.020942408377,3.0,,2009
