ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
430236,3,17.06.2019,13.05.2019,94350,0,,,,,0,15.04.2025,17.06.2019,1,5,2019,133,975,VINSKA GORA,VELENJE,308,11,,,1,VINSKA GORA,VINSKA GORA,31,,11,6,1948,1,,,2,1/1,,,,,,,,"1220201 - Banka, pošta, zavarovalnica",pritličje,,2.1,2.1, poslovni prostor,,,513437.69,133525.25,2019,133
435255,1,15.07.2019,28.05.2019,70000,0,,,,,0,15.04.2025,15.07.2019,1,1,2019,133,964,VELENJE,VELENJE,1479,8,,,1,VELENJE,JENKOVA CESTA,6,,8,2,1956,1,,,66,1/1,,,3,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,66.3,55.4," bivalni prostor | klet | odprta terasa, balkon, loža",,,508534.27,135873.16,2019,133
416079,1,13.02.2019,12.12.2018,70000,0,,,,,0,15.04.2025,13.02.2019,1,1,2019,133,964,VELENJE,VELENJE,3478,67,,,1,VELENJE,KARDELJEV TRG,8,,67,2,1981,1,,,76,1/1,,,3,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,76.1,69.2," bivalni prostor | klet | odprta terasa, balkon, loža",,,509311.83,135768.77,2019,133
412266,1,04.02.2019,20.10.2018,55000,0,,,,,0,15.04.2025,04.02.2019,1,1,2019,133,964,VELENJE,VELENJE,2136,12,,,1,VELENJE,JENKOVA CESTA,29,,10,2,1960,1,,,67,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,2,66.5,54.8," bivalni prostor | klet | odprta terasa, balkon, loža",,,508448.65,135928.24,2019,133
411748,1,04.02.2019,15.10.2018,55000,0,,,,,0,15.04.2025,04.02.2019,1,1,2019,133,964,VELENJE,VELENJE,53,5,,,1,VELENJE,ŠPEGLOVA ULICA,34,,1,2,1968,1,,,71,1/1,,,,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,3,71.1,63," bivalni prostor | odprta terasa, balkon, loža",,,505906.02,136496.21,2019,133
411749,4,04.02.2019,16.10.2018,21000,0,,,,,0,04.02.2019,04.02.2019,1,4,2019,133,964,VELENJE,VELENJE,1088,2,,,1,VELENJE,ŠPEGLOVA ULICA,12,,2,1,1978,1,,,90,2/10,,,1,1,,,,1121001 - Stanovanje v samostoječi stavbi z dvema stanovanjema,nadstropje,3,90,80.6, bivalni prostor,,,506169.32,136444.91,2019,133
411749,4,04.02.2019,16.10.2018,21000,0,,,,,0,04.02.2019,04.02.2019,1,4,2019,133,964,VELENJE,VELENJE,1088,1,,,1,VELENJE,ŠPEGLOVA ULICA,12,,1,1,1978,1,,,145,2/10,,,,1,,,,1121001 - Stanovanje v samostoječi stavbi z dvema stanovanjema,pritličje,3,144.5,80.6," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",,,506169.32,136444.91,2019,133
415906,1,13.02.2019,18.12.2018,80000,0,,,,,0,15.04.2025,13.02.2019,1,1,2019,133,964,VELENJE,VELENJE,3500,6,,,1,VELENJE,ŠALEŠKA CESTA,20,A,6,2,1963,1,,,83,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,82.6,79.6, bivalni prostor | klet,,,509045.45,135500.38,2019,133
415923,1,13.02.2019,18.12.2018,50000,0,,,,,0,15.04.2025,13.02.2019,1,4,2019,133,953,PAKA,VELENJE,375,1,,,1,,,,,,15,1970,1,,,8,1/1,,,,,,,,1290001 - Nestavba,pritličje,,8,8, prostor z omejeno uporabo,,,511343.66,137915.84,2019,133
415923,1,13.02.2019,18.12.2018,50000,0,,,,,0,15.04.2025,13.02.2019,1,4,2019,133,953,PAKA,VELENJE,376,1,,,1,PAKA PRI VELENJU,PAKA PRI VELENJU,54,,,1,1966,1,,,152,1/1,,,,,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,4,151.7,94.8," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",,,511358.79,137903.73,2019,133
