ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO_x,RPE_OBCINE_SIFRA_x,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO_y,RPE_OBCINE_SIFRA_y
289233,1,17.10.2016,22.09.2016,82000,0,,,,,0,15.04.2025,17.10.2016,1,1,2016,50,2605,KOPER,KOPER,2026,1,,,1,,,,,,1,1767,1,,,65,1/1,,,,,,,,"1110002 - Stanovanje, ki se nahaja v krajni vrstni hiši",pritličje,2,65,49, Drvarnica | Kurilnica | Stopnišče,,,400969.32,46222.68,2016,50
277809,1,16.08.2016,27.06.2016,25000,0,,,,,0,15.04.2025,16.08.2016,1,2,2016,50,2616,PODPEČ,KOPER,106,1,,,1,PODPEČ,PODPEČ,23,,,13,1850,1,,,129,1/1,,,,,,,,1271401 - Drug kmetijski del stavbe,pritličje,,128.6,128.6,-,,,414649.33,43093.41,2016,50
278568,1,16.08.2016,07.04.2016,58000,0,,,,,0,15.04.2025,16.08.2016,1,2,2016,50,2605,KOPER,KOPER,1448,104,,,1,KOPER,FERRARSKA ULICA,17,,,5,1998,1,,,38,1/1,,,,,,,,1230401 - Prostori za storitvene dejavnosti,pritličje,,38.1,35.7,-,,,401347.14,45982.23,2016,50
278568,1,16.08.2016,07.04.2016,58000,0,,,,,0,15.04.2025,16.08.2016,1,2,2016,50,2605,KOPER,KOPER,1448,17,,,1,KOPER,FERRARSKA ULICA,17,,,4,1998,1,,,6,1/1,,,,,,,,1242002 - garaža v garažni hiši,pritličje,,6.1,6.1,-,,,401347.14,45982.23,2016,50
278579,1,16.08.2016,16.05.2016,20000,0,,,,,0,15.04.2025,16.08.2016,1,3,2016,50,2605,KOPER,KOPER,465,1,,,1,KOPER,POBOČNA ULICA,2,,1,2,1840,1,,,147,3/5,,,1,,,,,"1110000 - Stanovanje, neprimerno za bivanje, v stavbi z enim stanovanjem",nadstropje,4,147.1,0, Garderoba | Podstrešje,,,400587.48,46015.69,2016,50
278583,1,16.08.2016,24.05.2016,100000,0,,,,,0,15.04.2025,16.08.2016,1,1,2016,50,2598,SOCERB,KOPER,97,4,,,1,KASTELEC,KASTELEC,11,C,4,2,2009,1,,,71,1/1,,,1,2,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,71,58.6," Klet, shramba | Odprt balkon",,,412027.46,49797.62,2016,50
278584,1,16.08.2016,25.05.2016,100000,0,,,,,1,15.04.2025,16.08.2016,1,2,2016,50,2606,SEMEDELA,KOPER,5411,24,,,1,KOPER,OLJČNA POT,63,A,24,2,2007,1,,,41,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,2,85.7,41.1," Klet, shramba | Odprta loža",,,400124.72,44357.16,2016,50
278584,1,16.08.2016,25.05.2016,100000,0,,,,,1,15.04.2025,16.08.2016,1,2,2016,50,2606,SEMEDELA,KOPER,5411,239,,,1,KOPER,OLJČNA POT,63,A,239,3,2007,1,,,13,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,12.5,12.5,-,,,400124.72,44357.16,2016,50
244008,1,15.01.2016,02.12.2015,127000,0,,,,,0,15.04.2025,15.01.2016,1,2,2016,50,2603,DEKANI,KOPER,1054,1,,,1,,,,,,4,1978,1,,,49,1/1,,,,,,,,1242001 - garaža,pritličje,,49.4,42.3,-,,,405848.37,46882.63,2016,50
244008,1,15.01.2016,02.12.2015,127000,0,,,,,0,15.04.2025,15.01.2016,1,2,2016,50,2603,DEKANI,KOPER,9,4,,,1,,,,,,14,1974,1,,,109,1/1,,,,,,,,1274021 - Podstrešje,,,109,0,-,,,405861.92,46867.18,2016,50
